t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-01-10","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-10","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-01-10","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","3800","3800"
"2025-01-10","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2000","2500","2500"
"2025-01-10","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3200","3600","3600"
"2025-01-10","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-09","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-09","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3600","3600"
"2025-01-09","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-09","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2000","2500","2500"
"2025-01-09","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3200","3600","3600"
"2025-01-09","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-09","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-01-09","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-09","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-09","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-09","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-09","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3600","3600"
"2025-01-09","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2400","3000","3000"
"2025-01-08","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-08","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2800","3400","3400"
"2025-01-08","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-08","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-08","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-08","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-08","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-08","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2000","2500","2500"
"2025-01-08","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-08","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-08","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2400","3000","3000"
"2025-01-08","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-08","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-01-07","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-07","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-07","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-07","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-07","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4000","4000"
"2025-01-07","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-07","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-07","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-07","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-07","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2000","2500","2500"
"2025-01-07","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-07","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-07","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-07","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-06","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-06","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-06","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-06","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-06","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-06","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4000","4000"
"2025-01-06","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-06","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-06","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-06","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-06","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2000","2500","2500"
"2025-01-06","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3200","3500","3500"
"2025-01-06","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-06","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-05","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-05","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4000","4000"
"2025-01-05","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-05","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-05","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-05","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-05","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-05","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-05","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-05","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-05","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-05","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-05","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-05","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2000","2500","2500"
"2025-01-04","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4000","4000"
"2025-01-04","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3200","3200"
"2025-01-04","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-04","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2000","2500","2500"
"2025-01-04","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-04","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-04","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-04","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-04","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-04","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-04","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-01-04","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-04","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-04","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-03","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2800","3200","3200"
"2025-01-03","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4000","4000"
"2025-01-03","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-03","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3200","3400","3400"
"2025-01-03","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-03","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-03","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2800","3200","3200"
"2025-01-03","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-03","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","1000","1400","1400"
"2025-01-03","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-03","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-03","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2000","2500","2500"
"2025-01-03","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-03","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2800","3200","3200"
"2025-01-02","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-01-02","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-02","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-02","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2400","3000","3000"
"2025-01-02","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-02","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-02","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","1500","2500","2500"
"2025-01-02","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-02","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-02","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-02","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3200","3400","3400"
"2025-01-02","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-02","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-02","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-01","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-01","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-01","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-01","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2400","3000","3000"
"2025-01-01","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3200","3400","3400"
"2025-01-01","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-01-01","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-01-01","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2000","2500","2500"
"2025-01-01","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-01","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-01","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-01-01","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-01","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-01-01","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-31","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-31","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-31","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3200","3400","3400"
"2024-12-31","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3200","3600","3600"
"2024-12-31","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-31","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2024-12-31","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2024-12-31","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2024-12-31","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2024-12-31","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2024-12-31","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2000","2500","2500"
"2024-12-31","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2024-12-31","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-31","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4000","4000"
"2024-12-30","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2024-12-30","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2024-12-30","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-30","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2024-12-30","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2200","2500","2500"
"2024-12-30","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2024-12-30","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-30","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-30","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-30","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2024-12-30","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-30","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4000","4000"
"2024-12-30","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2024-12-30","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3200","3600","3600"
"2024-12-29","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2024-12-29","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2024-12-29","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3600","3600"
"2024-12-29","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2000","2500","2500"
"2024-12-29","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2024-12-29","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2024-12-29","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2024-12-29","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-29","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3200","3400","3400"
"2024-12-29","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-29","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2024-12-29","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-29","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2024-12-29","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-28","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-28","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-28","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2024-12-28","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2000","2500","2500"
"2024-12-28","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2024-12-28","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2024-12-28","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2024-12-28","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-28","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-28","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2800","3400","3400"
"2024-12-28","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2024-12-28","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2024-12-28","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2024-12-28","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2024-12-27","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2024-12-27","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
